entity,coupled,degree,average-revs
btree/bt_evict.c,btree/c_server.c,91,95
src/mongo/db/repl/repl_coordinator.h,src/mongo/db/repl/repl_coordinator_mock.cpp,91,89
src/mongo/db/repl/repl_coordinator.h,src/mongo/db/repl/repl_coordinator_mock.h,91,88
btree/c_server.c,btree/c_sync.c,91,81
btree/bt_rw.c,btree/c_sync.c,91,80
src/mongo/db/repl/storage_interface.h,src/mongo/db/repl/storage_interface_impl.h,91,36
src/mongo/db/repl/storage_interface.h,src/mongo/db/repl/storage_interface_mock.h,91,36
src/mongo/db/repl/repl_coordinator_external_state_impl.h,src/mongo/db/repl/repl_coordinator_external_state_mock.h,91,29
src/mongo/db/repl/repl_coordinator_external_state_impl.h,src/mongo/db/repl/repl_coordinator_external_state_mock.cpp,91,29
src/mongo/s/set_shard_version_request.cpp,src/mongo/s/set_shard_version_request_test.cpp,91,12
jstests/replsets/stepdown_needs_electable_secondary.js,jstests/replsets/stepdown_needs_majority.js,91,12
src/mongo/db/index/fts_access_method.h,src/mongo/db/index/haystack_access_method.h,91,12
debian/bsondump.1,debian/mongostat.1,91,12
src/mongo/s/field_parser.cpp,src/mongo/s/field_parser.h,91,12
src/mongo/db/repl/data_replicator_external_state_impl.cpp,src/mongo/db/repl/data_replicator_external_state_mock.h,90,20
src/mongo/db/repl/data_replicator_external_state_impl.cpp,src/mongo/db/repl/data_replicator_external_state_mock.cpp,90,20
src/mongo/client/remote_command_targeter.h,src/mongo/client/remote_command_targeter_rs.cpp,90,17
src/mongo/db/repl/optime.cpp,src/mongo/db/repl/optime.h,90,16
src/mongo/s/set_shard_version_request.h,src/mongo/s/set_shard_version_request_test.cpp,90,11
